id,n_annotators,pairwise_overlap_rate,pairwise_jaccard_mean,any_topic_shared_by_2plus,any_topic_shared_by_all,mean_topics_per_annotator
1,4,1.0,0.75,True,True,1.25
2,4,1.0,1.0,True,True,1.0
3,3,0.666667,0.333333,True,False,1.333333
4,3,0.333333,0.333333,True,False,1.0
5,3,0.333333,0.333333,True,False,1.0
6,3,1.0,1.0,True,True,1.0
7,3,1.0,1.0,True,True,1.0
8,3,1.0,1.0,True,True,1.0
9,3,0.333333,0.333333,True,False,1.0
10,3,1.0,1.0,True,True,2.0
11,3,1.0,1.0,True,True,2.0
12,3,1.0,1.0,True,True,1.0
13,3,1.0,0.666667,True,True,1.333333
14,3,0.333333,0.333333,True,False,1.0
15,3,0.333333,0.333333,True,False,1.0
16,3,1.0,0.666667,True,True,1.666667
17,3,0.666667,0.333333,True,False,1.333333
18,3,0.666667,0.333333,True,False,1.333333
19,3,1.0,1.0,True,True,1.0
20,3,1.0,0.444444,True,True,1.666667
21,3,0.333333,0.333333,True,False,1.0
22,3,1.0,0.666667,True,True,1.333333
23,3,1.0,1.0,True,True,1.0
24,3,0.333333,0.333333,True,False,1.0
25,3,1.0,1.0,True,True,1.0
26,3,1.0,1.0,True,True,1.0
27,3,1.0,1.0,True,True,1.0
28,3,1.0,1.0,True,True,1.0
29,3,1.0,0.666667,True,True,1.333333
30,3,1.0,1.0,True,True,1.0
31,3,1.0,1.0,True,True,1.0
32,3,1.0,0.555556,True,True,2.0
33,3,1.0,1.0,True,True,1.0
34,3,1.0,1.0,True,True,1.0
35,3,1.0,1.0,True,True,1.0
36,3,0.333333,0.333333,True,False,1.0
37,3,1.0,1.0,True,True,1.0
38,3,0.666667,0.333333,True,False,1.333333
39,3,0.333333,0.333333,True,False,1.0
40,3,0.333333,0.333333,True,False,1.0
41,3,0.333333,0.333333,True,False,0.666667
42,3,1.0,0.666667,True,True,1.333333
43,3,1.0,0.777778,True,True,2.666667
44,3,1.0,1.0,True,True,1.0
45,3,1.0,1.0,True,True,1.0
46,3,0.333333,0.333333,True,False,1.0
47,3,1.0,1.0,True,True,1.0
48,3,0.0,0.0,False,False,1.333333
49,3,1.0,1.0,True,True,1.0
696,3,1.0,1.0,True,True,1.0
